stop_id,stop_name,stop_lat,stop_lon
40497,Butterfield Rd & Sleepy Hollow Dr,38.007633,-122.579346
40498,Butterfield Rd & Green Valley Ct,38.004822,-122.576134
40499,Butterfield Rd & Green Valley Ct,38.004879,-122.576019
40500,Butterfield Rd & Fawn Dr,38.002186,-122.574806
40501,Butterfield Rd & Fawn Dr,38.002457,-122.574722
40502,Butterfield Rd & Oak Knoll Dr,37.999668,-122.575584
40503,Butterfield Rd & Deer Hollow Rd,38.000195,-122.57502
40504,Butterfield Rd & Caleta Ave,37.998112,-122.576385
40505,Butterfield Rd & Caleta Ave,37.998165,-122.576233
40506,Butterfield Rd & Woodside Dr,37.995033,-122.57695
40507,Butterfield Rd & Woodside Dr,37.995983,-122.576584
40508,Butterfield Rd & Rosemont Ave,37.990665,-122.577133
40509,Butterfield Rd & Arroyo Ave,37.99197,-122.57637
40510,Butterfield Rd & Rutherford Ave,37.988693,-122.577927
40511,Butterfield Rd & Meadowcroft Dr,37.988426,-122.577881
40512,Olema Way & Sir Francis Drake Blvd,38.000221,-122.604134
40513,Sir Francis Drake Blvd & Glen Dr,38.000214,-122.603043
40514,Sir Francis Drake Blvd & Alhambra Circle,37.999081,-122.600449
40515,Sir Francis Drake Blvd & Alhambra Circle,37.999207,-122.60041
40516,Op 2564 Sir Francis Drake Blvd,37.997318,-122.599358
40517,2564 Sir Francis Drake Blvd,37.997185,-122.599068
40518,Sir Francis Drake Blvd & Oak Manor Dr,37.995327,-122.596176
40519,Sir Francis Drake Blvd & Oak Manor Dr,37.995457,-122.596176
40520,Sir Francis Drake Blvd & Marin Rd,37.993378,-122.594208
40521,Sir Francis Drake Blvd & Oak Tree Ln,37.993793,-122.594345
40522,Sir Francis Drake Blvd & Claus Dr,37.987316,-122.589287
40523,Broadway Blvd & Bolinas Ave,37.987087,-122.588791
40524,Sir Francis Drake Blvd & Bank St,37.989994,-122.591705
40525,Sir Francis Drake Blvd & Marinda Dr,37.990532,-122.591805
40526,Sir Francis Drake Blvd & Kent Ave,37.986561,-122.580917
40527,Sir Francis Drake Blvd & Willow Ave,37.986691,-122.582359
40538,De La Guerra Rd & Del Ganado Rd,38.020023,-122.573051
