stop_id,stop_name,stop_lat,stop_lon
3692,BLANKEN AVE & TUNNEL AVE   ,37.71202,-122.40068
3693,BEMIS ST & ADDISON  ST   ,37.737725,-122.429531
3694,BOSWORTH ST & ELK ST  ,37.734871,-122.44007
3695,BOSWORTH ST & DIAMOND ST  ,37.733595,-122.434011
3696,BOSWORTH ST & DIAMOND ST  ,37.733488,-122.43408
3697,BOSWORTH ST & ELK ST  ,37.735005,-122.440093
3698,BOSWORTH ST & LIPPARD AVE  ,37.733925,-122.435706
3699,BOSWORTH ST & LIPPARD AVE  ,37.733827,-122.43597
3700,BOSWORTH ST & MARSILY ST  ,37.733469,-122.42794
3701,BOSWORTH ST & MILTON ST  ,37.733487,-122.429326
3702,BOSWORTH ST & MILTON ST  ,37.733318,-122.42952
3703,BOSWORTH ST & MISSION ST  ,37.733719,-122.426702
3704,BOSWORTH ST & ROTTECK ST  ,37.733211,-122.431296
3705,LINCOLN BLVD & BOWLEY AVE  ,37.788465,-122.482617
3706,BOWLEY ST & LINCOLN BLVD  ,37.792222,-122.481186
3708,BRADFORD ST & BERNAL HEIGHTS BLVD,37.74201,-122.4094
3709,BRADFORD ST & BERNAL HEIGHTS BLVD,37.74286,-122.4094
3710,BRADFORD ST & ESMERALDA AVE  ,37.74306,-122.40932
3712,BURNETT AVE & CRESTLINE DR   ,37.749121,-122.444938
3713,BURNETT AVE & DAWNVIEW WAY  ,37.748077,-122.445087
3715,BROAD ST & CAPITOL AVE  ,37.713191,-122.458921
3716,BROAD ST & CAPITOL AVE  ,37.713152,-122.459159
3717,BROAD ST & ORIZABA AVE  ,37.713178,-122.462331
3718,BROAD ST & PLYMOUTH AVE  ,37.713222,-122.455927
3719,BROAD ST & PLYMOUTH AVE  ,37.713161,-122.45618
3721,BRIDGE VIEW DR & SCOTIA AVE   ,37.73184,-122.3994
3722,BRIDGE VIEW DR & TOPEKA AVE   ,37.7332,-122.39769
3723,BRYANT ST & 4TH ST   ,37.779474,-122.398068
3724,BRYANT ST & 5TH ST   ,37.77795,-122.39995
3725,BRYANT ST & 6TH ST   ,37.776157,-122.402231
3726,BRYANT ST & 7TH ST   ,37.77438,-122.40449
3727,BRYANT ST & 8TH ST   ,37.77233,-122.40708
3728,BRYANT ST & 9TH ST   ,37.77146,-122.40817
3730,BRYANT ST & 16TH ST  ,37.76549,-122.4104
3731,BRYANT ST & 16TH ST  ,37.7653,-122.41054
3732,BRYANT ST & 17TH ST  ,37.76422,-122.41028
3733,BRYANT ST & 17TH ST  ,37.76402,-122.41041
3734,BRYANT ST & 18TH ST  ,37.76187,-122.4102
3735,BRYANT ST & 18TH ST  ,37.76167,-122.41004
3736,BRYANT ST & 19TH ST  ,37.76058,-122.41008
3737,BRYANT ST & 19TH ST  ,37.76038,-122.40991
3738,BRYANT ST & 20TH ST  ,37.75933,-122.40993
3739,BRYANT ST & 20TH ST  ,37.75911,-122.40966
3740,BRYANT ST & 21ST ST  ,37.75751,-122.4095
3741,BRYANT ST & 21ST ST  ,37.7574,-122.40961
3742,BRYANT ST & 22ND ST  ,37.75621,-122.40942
3743,BRYANT ST & 22ND ST  ,37.75572,-122.40949
3744,BRYANT ST & 23RD ST  ,37.75431,-122.40919
3745,BRYANT ST & 23RD ST  ,37.75415,-122.40932
3746,BRYANT ST & 24TH ST  ,37.752907,-122.409086
3747,BRYANT ST & 24TH ST  ,37.752728,-122.409178
3748,BRYANT ST & 25TH ST  ,37.7513,-122.40907
3749,BRYANT ST & 25TH ST  ,37.75111,-122.40889
3750,BRYANT ST & 26TH ST  ,37.74969,-122.40891
3751,BRYANT ST & 26TH ST  ,37.74951,-122.40873
3752,BRYANT ST & ALAMEDA ST  ,37.76845,-122.41068
3754,BRYANT ST & DIVISION ST   ,37.76967,-122.41045
3756,BRYANT ST & MARIPOSA ST  ,37.76314,-122.41032
3757,BRYANT ST & MARIPOSA ST  ,37.76294,-122.41016
3758,BRAZIL AVE & ATHENS ST   ,37.72162,-122.42829
3759,BRAZIL AVE & ATHENS ST   ,37.72166,-122.42857
3760,BRAZIL AVE & MADRID ST   ,37.72314,-122.43151
3761,BRAZIL AVE & MISSION ST   ,37.724717,-122.434654
3762,BRAZIL AVE & MOSCOW ST   ,37.72122,-122.42748
3763,BRAZIL AVE & MOSCOW ST   ,37.72128,-122.42776
3764,BRAZIL AVE & MUNICH ST   ,37.7209,-122.42699
3765,BRAZIL AVE & NAPLES ST   ,37.72238,-122.4299
3766,BRAZIL AVE & PARIS ST   ,37.723958,-122.433085
3767,BRAZIL AVE & PRAGUE ST   ,37.72052,-122.42616
3768,228 BAY SHORE BLVD  ,37.74472,-122.40443
3771,BAY SHORE BLVD & ALEMANY BLVD ,37.737729,-122.406997
3772,BAY SHORE BLVD & ARLETA AVE   ,37.712235,-122.402614
3773,BAY SHORE BLVD & AUGUSTA ST  ,37.73425,-122.40558
3775,BAY SHORE BLVD & BOUTWELL ST  ,37.73488,-122.40588
3776,BAY SHORE BLVD & CAMPBELL AVE ,37.71481,-122.39936
3778,BAY SHORE BLVD & CORTLAND AVE ,37.73986,-122.40677
3779,BAY SHORE BLVD & CORTLAND AVE ,37.73946,-122.407122
3780,BAY SHORE BLVD & HESTER AVE   ,37.71497,-122.39898
3783,BAY SHORE BLVD & LELAND AVE   ,37.711138,-122.403783
3788,BAY SHORE BLVD & SILVER AVE  ,37.733213,-122.40472
3789,BAY SHORE BLVD & SILVER AVE  ,37.732963,-122.404789
3793,BAY SHORE BLVD & VISITACION AVE,37.71062,-122.40389
3794,BUCHANAN ST & BAY ST  ,37.80343,-122.43334
3797,90 BUCKINGHAM WAY  ,37.72598,-122.47686
3798,91 BUCKINGHAM WAY  ,37.72597,-122.47714
3799,170 BUCKINGHAM WAY  ,37.72595,-122.47881
3800,190 BUCKINGHAM WAY  ,37.72587,-122.47879
3801,280 BUCKINGHAM WAY  ,37.72691,-122.48004
3802,281 BUCKINGHAM WAY  ,37.72717,-122.48005
3803,BUCKINGHAM WAY & WINSTON DR   ,37.72803,-122.47913
3804,BUNKER RD & FIELD RD  ,37.83142,-122.52323
3805,BUNKER RD/MIWOK TRAIL,37.832584,-122.527246
3806,BUNKER RD/MIWOK TRAIL,37.832477,-122.5272
3807,BUNKER RD/RIFLE RANGE,37.83302,-122.50882
3808,BUNKER RD/RIFLE RANGE,37.83296,-122.50872
3809,BUNKER RD/STABLES,37.8318,-122.51495
3810,BUNKER RD/STABLES,37.83175,-122.51538
3812,BUSH ST & HYDE ST  ,37.78915,-122.41658
3813,BUSH ST & JONES ST  ,37.78944,-122.41387
3814,BUSH ST & LEAVENWORTH ST  ,37.7893,-122.41496
3815,BUSH ST & MONTGOMERY ST  ,37.790924,-122.402118
3818,BUENA VISTA AVE E & BUENA VISTA TER,37.76773,-122.44021
3819,BUENA VISTA TER & BUENA VISTA AVE E,37.76883,-122.43833
3820,BUENA VISTA TER & ROOSEVELT WAY,37.76685,-122.43815
3822,CALIFORNIA ST & 4TH AVE  ,37.785353,-122.462292
3823,CALIFORNIA ST & 4TH AVE  ,37.785178,-122.46257
3824,CALIFORNIA ST & 6TH AVE  ,37.785069,-122.464641
3825,CALIFORNIA ST & 6TH AVE  ,37.784902,-122.464709
3826,CALIFORNIA ST & 7TH AVE   ,37.784819,-122.465432
3827,CALIFORNIA ST & 8TH AVE  ,37.78463,-122.466825
3828,CALIFORNIA ST & 10TH AVE  ,37.784665,-122.469159
3830,CALIFORNIA ST & 10TH AVE  ,37.784551,-122.468963
3831,CALIFORNIA ST & 12TH AVE  ,37.784586,-122.470848
3832,CALIFORNIA ST & 12TH AVE  ,37.784454,-122.471103
3833,CALIFORNIA ST & 16TH AVE  ,37.784386,-122.475229
3834,CALIFORNIA ST & 16TH AVE  ,37.784253,-122.475501
3835,CALIFORNIA ST & 19TH AVE  ,37.784241,-122.478446
3836,CALIFORNIA ST & 19TH AVE  ,37.784109,-122.47871
3837,CALIFORNIA ST & 22ND AVE  ,37.784097,-122.481659
3838,CALIFORNIA ST & 22ND AVE  ,37.783941,-122.481893
3839,CALIFORNIA ST & 25TH AVE  ,37.78395,-122.48482
3840,CALIFORNIA ST & 25TH AVE  ,37.783808,-122.485286
3841,CALIFORNIA ST & 28TH AVE  ,37.783798,-122.488074
3842,CALIFORNIA ST & 28TH AVE  ,37.783658,-122.488456
3843,CALIFORNIA ST & 30TH AVE  ,37.783671,-122.490513
3844,CALIFORNIA ST & 30TH AVE  ,37.783578,-122.490087
3845,CALIFORNIA ST & ARGUELLO BLVD ,37.785703,-122.459288
3846,CALIFORNIA ST & ARGUELLO BLVD ,37.785659,-122.459036
3847,CALIFORNIA ST & BAKER ST  ,37.787738,-122.443634
3848,CALIFORNIA ST & BAKER ST  ,37.78762,-122.443384
3849,CALIFORNIA ST & BATTERY ST  ,37.793296,-122.399813
3851,CALIFORNIA ST & BATTERY ST  ,37.793144,-122.39987
3852,CALIFORNIA ST & CHERRY ST  ,37.786042,-122.456835
3853,CALIFORNIA ST & CHERRY ST  ,37.785974,-122.456329
3855,CALIFORNIA ST & DAVIS ST  ,37.793589,-122.397462
3857,CALIFORNIA ST & DAVIS ST  ,37.79342,-122.397749
3858,CALIFORNIA ST & DIVISADERO ST ,37.788087,-122.44087
3859,CALIFORNIA ST & DIVISADERO ST ,37.787954,-122.440721
3860,CALIFORNIA ST & DRUMM ST  ,37.793678,-122.396373
3861,CALIFORNIA ST & FILLMORE ST  ,37.788931,-122.434151
3862,CALIFORNIA ST & FILLMORE ST  ,37.788861,-122.433989
3863,CALIFORNIA ST & FRONT ST  ,37.793438,-122.398643
3864,CALIFORNIA ST & FRONT ST  ,37.79327,-122.39892
3865,CALIFORNIA ST & GRANT AVE   ,37.792504,-122.405958
3866,CALIFORNIA ST & GRANT AVE   ,37.792379,-122.405935
3867,CALIFORNIA ST & HYDE ST  ,37.791018,-122.41756
3868,CALIFORNIA ST & HYDE ST   ,37.790902,-122.417537
3869,CALIFORNIA ST & JONES ST   ,37.791472,-122.414121
3870,CALIFORNIA ST & JONES ST   ,37.791347,-122.414098
3871,CALIFORNIA ST & KEARNY ST  ,37.792718,-122.404273
3872,CALIFORNIA ST & KEARNY ST  ,37.792593,-122.40425
3873,CALIFORNIA ST & LARKIN ST  ,37.790866,-122.41889
3874,CALIFORNIA ST & LARKIN ST  ,37.7907,-122.41916
3875,CALIFORNIA ST & LAUREL ST  ,37.786923,-122.449957
3876,CALIFORNIA ST & LAUREL ST  ,37.786712,-122.45026
3877,CALIFORNIA ST & LEAVENWORTH ST,37.791285,-122.415611
3878,CALIFORNIA ST & LEAVENWORTH ST ,37.791133,-122.415749
3879,CALIFORNIA ST & MAPLE ST  ,37.786248,-122.455207
3880,CALIFORNIA ST & MASON ST  ,37.791872,-122.41098
3881,CALIFORNIA ST & MASON ST  ,37.791747,-122.410957
3882,CALIFORNIA ST & MONTGOMERY ST ,37.792762,-122.402908
3883,CALIFORNIA ST & MONTGOMERY ST ,37.792931,-122.402622
3884,CALIFORNIA ST & PIERCE ST  ,37.788518,-122.437484
3885,CALIFORNIA ST & PIERCE ST  ,37.788455,-122.436808
3886,CALIFORNIA ST & PARK PRESIDIO BLVD,37.784515,-122.47325
3887,CALIFORNIA ST & PARK PRESIDIO BLVD,37.784365,-122.472764
3888,CALIFORNIA ST & POLK ST  ,37.790661,-122.420541
3889,CALIFORNIA ST & POLK ST  ,37.790492,-122.420828
3890,CALIFORNIA ST & POWELL ST  ,37.792068,-122.40942
3891,CALIFORNIA ST & POWELL ST  ,37.791952,-122.40934
3892,CALIFORNIA ST & PRESIDIO AVE  ,37.787265,-122.446965
3893,CALIFORNIA ST & PRESIDIO AVE  ,37.787212,-122.446931
3894,CALIFORNIA ST & SANSOME ST  ,37.793145,-122.400982
3895,CALIFORNIA ST & SANSOME ST,37.792975,-122.401269
3896,CALIFORNIA ST & SPRUCE ST  ,37.786503,-122.453281
3897,CALIFORNIA ST & SPRUCE ST  ,37.786334,-122.453517
